BranchID,Application_Date,Loan_SubType,Loan_Purpose,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Declined Date,Deciding Date,Approved Date,Funded Date,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Denial Reasons
103,6/1/2022,Auto Refinance,VEHICLE,Refinance,25775,25961.98,25961.98,APPROVED,,6/2/2022,6/2/2022,6/2/2022,C,TX,641,CAR,33525,0,3 YR USED,,66,5,1,32.542,480.73,14,1.17,
103,6/1/2022,Auto Refinance,VEHICLE,Refinance,25775,25961.98,25961.98,APPROVED,,6/2/2022,6/2/2022,6/2/2022,P,TX,670,CAR,33525,0,3 YR USED,1.tov-Vehicle T3,66,5,1,32.542,480.73,45,3.75,
604,6/1/2022,Other Secured Loan,VEHICLE,Refinance,2,228,228,APPROVED,,6/1/2022,6/1/2022,6/1/2022,P,TX,712,CAR,33975,0,6-10 YR USED,1.tov-Vehicle T2,36,8,2,26.861,646.37,52,4.33,
810,6/1/2022,Auto Refinance,VEHICLE,Refinance,21344.6,21377.6,,APPROVED,,6/2/2022,6/2/2022,,P,TX,664,CAR,25500,0,2 YR USED,1.tov-Vehicle T3,66,6,1,20.326,0,12,1,
682,6/1/2022,Auto Refinance,VEHICLE,Refinance,568,7641.36,7641.36,APPROVED,,6/2/2022,6/2/2022,6/2/2022,P,TX,670,CAR,17625,0,6-10 YR USED,1.tov-Vehicle T3,36,2,1,46.422,252.87,269,22.42,
367,6/1/2022,Auto Refinance,VEHICLE,Refinance,257,25744.97,25744.97,APPROVED,,6/1/2022,6/1/2022,,P,TX,622,CAR,33100,0,3 YR USED,1.tov-Vehicle T3,66,5,645.25,11.061,476.71,96,8,
427,6/1/2022,Auto Refinance,VEHICLE,Refinance,2453.96,2149.9,2149.9,APPROVED,6/16/2022,6/18/2022,6/18/2022,6/18/2022,P,TX,655,CAR,24000,0,6-10 YR USED,1.tov-Vehicle T3,36,3,752.58,23.076,665.41,37,3.08,"Application Incomplete
"
425,6/1/2022,Auto Refinance,VEHICLE,Refinance,29984.1,312.1,,DECLINED,6/30/2022,6/30/2022,,,P,TX,694,CAR,28575,0,4 YR USED,1.tov-Vehicle T3,54,3,758.69,25.29,0,36,3,"Application Incomplete
"
311,6/1/2022,Auto Refinance,VEHICLE,Refinance,99.79,942.79,942.79,APPROVED,,6/7/2022,6/7/2022,6/8/2022,P,TX,635,CAR,14550,0,6-10 YR USED,1.tov-Vehicle T3,36,3,298.26,9.419,298.26,48,4,
629,6/1/2022,Auto Refinance,VEHICLE,Refinance,2419.33,24223.33,24223.33,APPROVED,,6/7/2022,6/7/2022,6/8/2022,C,TX,655,CAR,22250,0,1 YR USED/REFI 60 MO,,66,5,1,28.413,436.78,336,28,
