Loan_SubType,Loan_Type,Requested_LoanAmount,Approved_LoanAmount,Funded_LoanAmount,Loan_Status,Borrower_Type,Applicant_State,Credit_Score,Type_ofVehicle,Value_ofAsset,LTV_Ratio,Loan_Class,Loan_Tier,Loan_Term,Monthly_Income,Monthly_debt,DTI_Ratio,Monthly_LoanPayment,Age_of_Employment_in_Months,Age_of_Employment_in_Years,Loan_SubType_Cat,Loan_Type_Cat,Loan_Status_Cat,Borrower_Type_Cat
Auto Refinance,Refinance,25775.0,25961.98,25961.98,APPROVED,P,TX,670.0,CAR,33525.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,1.0,32.542,480.73,45,3.75,0,5,0,0
Other Secured Loan,Refinance,2.0,228.0,228.0,APPROVED,P,TX,712.0,CAR,33975.0,0,6-10 YR USED,1.tov-Vehicle T2,36,8.0,2.0,26.861,646.37,52,4.33,3,5,0,0
Auto Refinance,Refinance,21344.6,21377.6,0.0,APPROVED,P,TX,664.0,CAR,25500.0,0,2 YR USED,1.tov-Vehicle T3,66,6.0,1.0,20.326,0.0,12,1.0,0,5,0,0
Auto Refinance,Refinance,568.0,7641.36,7641.36,APPROVED,P,TX,670.0,CAR,17625.0,0,6-10 YR USED,1.tov-Vehicle T3,36,2.0,1.0,46.422,252.87,269,22.42,0,5,0,0
Auto Refinance,Refinance,257.0,25744.97,25744.97,APPROVED,P,TX,622.0,CAR,33100.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,645.25,11.061,476.71,96,8.0,0,5,0,0
Auto Refinance,Refinance,2453.96,2149.9,2149.9,APPROVED,P,TX,655.0,CAR,24000.0,0,6-10 YR USED,1.tov-Vehicle T3,36,3.0,752.58,23.076,665.41,37,3.08,0,5,0,0
Auto Refinance,Refinance,29984.1,312.1,0.0,DECLINED,P,TX,694.0,CAR,28575.0,0,4 YR USED,1.tov-Vehicle T3,54,3.0,758.69,25.29,0.0,36,3.0,0,5,1,0
Auto Refinance,Refinance,99.79,942.79,942.79,APPROVED,P,TX,635.0,CAR,14550.0,0,6-10 YR USED,1.tov-Vehicle T3,36,3.0,298.26,9.419,298.26,48,4.0,0,5,0,0
Auto Refinance,Refinance,2419.33,24223.33,24223.33,APPROVED,P,TX,631.0,CAR,22250.0,0,1 YR USED/REFI 60 MO,1.tov-Vehicle T3,66,5.0,1.0,28.413,436.78,18,1.5,0,5,0,0
Auto Refinance,Refinance,16293.62,16429.89,16429.89,APPROVED,P,TX,700.0,CAR,17500.0,0,60 MO NEW,1.tov-Vehicle T4,66,2.0,318.38,14.714,318.87,12,1.0,0,5,0,0
Auto Refinance,Refinance,26.0,25892.79,25892.79,APPROVED,P,TX,624.0,CAR,37575.0,0,3 YR USED,1.tov-Vehicle T3,66,5.0,698.55,12.321,482.02,19,1.58,0,5,0,0
Used Vehicle Loan,Refinance,28.0,27862.73,27862.73,APPROVED,P,TX,741.0,CAR,26625.0,0,3 YR USED,1.tov-Vehicle T2,66,2.0,654.31,29.05,498.76,132,11.0,5,5,0,0
Auto Refinance,Refinance,3.0,3372.1,3372.1,APPROVED,P,AZ,645.0,CAR,31825.0,0,3 YR USED,1.tov-Vehicle T3,66,2.0,808.45,27.608,623.91,12,1.0,0,5,0,0
Auto Refinance,Refinance,2992.73,2729.25,2729.25,APPROVED,P,AZ,676.0,CAR,34025.0,0,4 YR USED,1.tov-Vehicle T3,54,4.0,2.0,49.518,603.15,42,3.5,0,5,0,0
Auto Refinance,Refinance,14.0,13585.1,13585.1,APPROVED,P,TX,673.0,CAR,36050.0,0,3 YR USED,1.tov-Vehicle T3,66,7.0,606.66,8.565,253.12,216,18.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,2.0,16452.54,0.0,APPROVED,P,TX,750.0,CAR,24575.0,0,3 YR USED,1.tov-Vehicle T2,66,1.0,647.87,35.893,0.0,36,3.0,5,4,0,0
Auto Refinance,Refinance,45.0,4531.73,4531.73,APPROVED,P,NM,629.0,CAR,13125.0,0,6-10 YR USED,1.tov-Vehicle T3,36,4.0,762.48,16.653,150.3,12,1.0,0,5,0,0
Auto Refinance,Refinance,48714.62,39896.62,0.0,DECLINED,P,TX,648.0,CAR,34100.0,0,1 YR USED/REFI 72 MO,1.tov-Vehicle T3,66,7.0,3.0,44.076,0.0,84,7.0,0,5,1,0
Auto Refinance,Refinance,3.0,3967.19,3967.19,APPROVED,P,AR,645.0,CAR,41100.0,0,2 YR USED,1.tov-Vehicle T3,66,2.0,742.86,29.714,718.32,18,1.5,0,5,0,0
Auto Refinance,Refinance,32.0,32628.16,32628.16,APPROVED,P,TX,762.0,CAR,25300.0,0,2 YR USED,1.tov-Vehicle T1,66,7.0,2.0,40.142,560.93,60,5.0,0,5,0,0
Used Vehicle Loan,Bills,3.0,175.0,175.0,APPROVED,P,TX,684.0,CAR,1750.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,18,1.0,337.45,33.638,83.45,12,1.0,5,0,0,0
Auto Refinance,Refinance,6.0,5739.25,5739.25,APPROVED,P,TX,628.0,CAR,8375.0,0,TOKEN COLLATERAL,1.tov-Vehicle T3,30,2.0,966.44,48.322,225.44,24,2.0,0,5,0,0
Auto Refinance,Refinance,4974.55,43571.5,0.0,APPROVED,P,TX,669.0,CAR,40425.0,0,2 YR USED,1.tov-Vehicle T3,66,6.0,1.0,20.304,0.0,18,1.5,0,5,0,0
Auto Refinance,Refinance,162.69,1632.39,1632.39,APPROVED,P,TX,828.0,CAR,19750.0,0,4 YR USED,1.tov-Vehicle T1,54,1.0,377.18,27.531,223.18,12,1.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,1.0,2985.75,2985.75,APPROVED,P,TX,683.0,CAR,25475.0,0,3 YR USED,1.tov-Vehicle T3,66,1.0,613.37,39.319,551.37,72,6.0,5,4,0,0
Auto Refinance,Refinance,53.0,53377.52,53377.52,APPROVED,P,TX,699.0,CAR,84895.0,0,72 MO NEW,1.tov-Vehicle T3,72,6.0,2.0,38.197,908.44,48,4.0,0,5,0,0
Used Vehicle Loan,Purchase-Other,1843.78,1785.0,1785.0,APPROVED,P,TX,680.0,CAR,17850.0,0,5 yr USED,1.tov-Vehicle T3,48,4.0,656.61,13.623,446.61,33,2.75,5,4,0,0
